Time;Mean;Mean+Sqrt(Var);Mean-Sqrt(Var);Working Machines
0,00;100;100;100;100
;99,99;100,09;99,89;99
;99,99;100,09;99,89;99
;99,97;100,14;99,8;99
;99,96;100,16;99,76;99
;99,96;100,16;99,76;99
;99,95;100,17;99,73;99
;99,91;100,23;99,59;99
;99,87;100,23;99,51;99
;99,86;100,26;99,46;99
;99,86;100,26;99,46;99
;99,85;100,26;99,44;99
;99,83;100,3;99,36;99
;99,82;100,32;99,32;99
;99,82;100,32;99,32;99
;99,82;100,32;99,32;99
;99,81;100,31;99,31;99
;99,79;100,31;99,27;99
;99,79;100,31;99,27;99
;99,78;100,3;99,26;99
;99,78;100,3;99,26;99
;99,78;100,3;99,26;99
;99,77;100,3;99,24;99
;99,77;100,3;99,24;99
;99,75;100,32;99,18;99
;99,74;100,32;99,16;99
;99,74;100,32;99,16;99
;99,73;100,31;99,15;99
;99,71;100,3;99,12;99
;99,69;100,28;99,1;99
;99,68;100,29;99,07;99
;99,65;100,27;99,03;99
;99,65;100,27;99,03;99
;99,65;100,27;99,03;99
;99,64;100,26;99,02;99
;99,64;100,26;99,02;99
;99,64;100,26;99,02;99
;99,63;100,26;99;99
;99,6;100,25;98,95;99
;99,6;100,25;98,95;99
;99,6;100,25;98,95;99
;99,59;100,25;98,93;99
;99,58;100,25;98,91;99
;99,57;100,24;98,9;99
;99,55;100,23;98,87;99
;99,54;100,22;98,86;99
;99,52;100,21;98,83;99
;99,52;100,21;98,83;99
;99,49;100,2;98,78;99
;99,49;100,2;98,78;99
5,00;99,48;100,19;98,77;99
;99,48;100,19;98,77;99
;99,48;100,19;98,77;99
;99,47;100,18;98,76;99
;99,47;100,18;98,76;99
;99,46;100,19;98,73;99
;99,43;100,18;98,68;99
;99,41;100,17;98,65;99
;99,41;100,17;98,65;99
;99,41;100,17;98,65;99
;99,4;100,17;98,63;99
;99,4;100,17;98,63;99
;99,38;100,15;98,61;99
;99,37;100,14;98,6;99
;99,36;100,13;98,59;99
;99,36;100,13;98,59;99
;99,34;100,13;98,55;99
;99,33;100,13;98,53;99
;99,33;100,13;98,53;99
;99,33;100,13;98,53;99
;99,31;100,12;98,5;99
;99,3;100,12;98,48;99
;99,29;100,11;98,47;99
;99,27;100,08;98,46;99
;99,27;100,08;98,46;99
;99,26;100,09;98,43;99
;99,25;100,08;98,42;99
;99,25;100,08;98,42;99
;99,24;100,1;98,38;99
;99,24;100,1;98,38;99
;99,23;100,09;98,37;99
;99,21;100,09;98,33;99
;99,18;100,07;98,29;99
;99,18;100,07;98,29;99
;99,17;100,05;98,29;99
;99,17;100,05;98,29;99
;99,16;100,06;98,26;99
;99,15;100,05;98,25;99
;99,15;100,05;98,25;99
;99,15;100,05;98,25;99
;99,14;100,08;98,2;99
;99,13;100,08;98,18;99
;99,11;100,06;98,16;99
;99,1;100,07;98,13;99
;99,09;100,06;98,12;99
;99,08;100,05;98,11;99
;99,08;100,05;98,11;99
;99,07;100,07;98,07;99
;99,06;100,06;98,06;99
;99,05;100,05;98,05;99
10,00;99,05;100,05;98,05;99
;99,03;100,04;98,02;99
;99,03;100,04;98,02;99
;99,02;100,03;98,01;99
;99,01;100,01;98,01;99
;99;100,01;97,99;99
;99;100,01;97,99;99
;98,97;99,98;97,96;98
;98,97;99,98;97,96;98
;98,96;99,97;97,95;98
;98,95;99,97;97,93;98
;98,94;99,97;97,91;98
;98,93;99,96;97,9;98
;98,92;99,96;97,88;98
;98,92;99,96;97,88;98
;98,92;99,96;97,88;98
;98,89;99,96;97,82;98
;98,88;99,99;97,77;98
;98,87;99,98;97,76;98
;98,87;99,98;97,76;98
;98,85;99,96;97,74;98
;98,84;99,95;97,73;98
;98,82;99,95;97,69;98
;98,81;99,96;97,66;98
;98,81;99,96;97,66;98
;98,77;99,93;97,61;98
;98,77;99,93;97,61;98
;98,76;99,93;97,59;98
;98,76;99,93;97,59;98
;98,76;99,93;97,59;98
;98,74;99,92;97,56;98
;98,74;99,92;97,56;98
;98,74;99,92;97,56;98
;98,74;99,92;97,56;98
;98,74;99,92;97,56;98
;98,74;99,92;97,56;98
;98,73;99,93;97,53;98
;98,73;99,93;97,53;98
;98,73;99,93;97,53;98
;98,73;99,93;97,53;98
;98,69;99,89;97,49;98
;98,69;99,89;97,49;98
;98,68;99,87;97,49;98
;98,67;99,85;97,49;98
;98,67;99,85;97,49;98
;98,67;99,85;97,49;98
;98,67;99,85;97,49;98
;98,66;99,85;97,47;98
;98,66;99,85;97,47;98
;98,66;99,85;97,47;98
15,00;98,66;99,85;97,47;98
;98,65;99,84;97,46;98
;98,65;99,84;97,46;98
;98,65;99,84;97,46;98
;98,65;99,84;97,46;98
;98,65;99,84;97,46;98
;98,65;99,84;97,46;98
;98,64;99,82;97,46;98
;98,63;99,82;97,44;98
;98,59;99,78;97,4;98
;98,59;99,78;97,4;98
;98,58;99,77;97,39;98
;98,58;99,77;97,39;98
;98,57;99,79;97,35;98
;98,56;99,77;97,35;98
;98,56;99,77;97,35;98
;98,54;99,78;97,3;98
;98,52;99,77;97,27;98
;98,52;99,77;97,27;98
;98,51;99,77;97,25;98
;98,51;99,77;97,25;98
;98,5;99,78;97,22;98
;98,5;99,78;97,22;98
;98,47;99,75;97,19;98
;98,47;99,75;97,19;98
;98,47;99,75;97,19;98
;98,46;99,74;97,18;98
;98,46;99,74;97,18;98
;98,46;99,74;97,18;98
;98,46;99,74;97,18;98
;98,46;99,74;97,18;98
;98,46;99,74;97,18;98
;98,46;99,74;97,18;98
;98,45;99,73;97,17;98
;98,44;99,74;97,14;98
;98,43;99,74;97,12;98
;98,43;99,74;97,12;98
;98,41;99,74;97,08;98
;98,4;99,73;97,07;98
;98,39;99,72;97,06;98
;98,38;99,7;97,06;98
;98,35;99,69;97,01;98
;98,33;99,69;96,97;98
;98,32;99,68;96,96;98
;98,31;99,69;96,93;98
;98,3;99,67;96,93;98
;98,28;99,67;96,89;98
;98,27;99,65;96,89;98
;98,27;99,65;96,89;98
;98,27;99,65;96,89;98
20,00;98,27;99,65;96,89;98
;98,26;99,64;96,88;98
;98,25;99,63;96,87;98
;98,25;99,63;96,87;98
;98,24;99,61;96,87;98
;98,22;99,6;96,84;98
;98,21;99,58;96,84;98
;98,2;99,56;96,84;98
;98,2;99,56;96,84;98
;98,18;99,55;96,81;98
;98,18;99,55;96,81;98
;98,17;99,53;96,81;98
;98,17;99,53;96,81;98
;98,16;99,51;96,81;98
;98,14;99,53;96,75;98
;98,14;99,53;96,75;98
;98,14;99,53;96,75;98
;98,13;99,53;96,73;98
;98,13;99,53;96,73;98
;98,11;99,52;96,7;98
;98,1;99,52;96,68;98
;98,07;99,49;96,65;98
;98,07;99,49;96,65;98
;98,06;99,47;96,65;98
;98,05;99,45;96,65;98
;98,05;99,45;96,65;98
;98,05;99,45;96,65;98
;98,04;99,46;96,62;98
;98,03;99,45;96,61;98
;98,03;99,45;96,61;98
;98,02;99,45;96,59;98
;98,02;99,45;96,59;98
;98,01;99,44;96,58;98
;97,99;99,44;96,54;97
;97,96;99,44;96,48;97
;97,95;99,45;96,45;97
;97,95;99,45;96,45;97
;97,95;99,45;96,45;97
;97,95;99,45;96,45;97
;97,93;99,44;96,42;97
;97,92;99,42;96,42;97
;97,91;99,41;96,41;97
;97,9;99,41;96,39;97
;97,9;99,41;96,39;97
;97,89;99,41;96,37;97
;97,88;99,4;96,36;97
;97,86;99,4;96,32;97
;97,86;99,4;96,32;97
;97,86;99,4;96,32;97
;97,84;99,37;96,31;97
25,00;97,84;99,37;96,31;97
;97,82;99,35;96,29;97
;97,81;99,34;96,28;97
;97,81;99,34;96,28;97
;97,8;99,35;96,25;97
;97,8;99,35;96,25;97
;97,8;99,35;96,25;97
;97,78;99,35;96,21;97
;97,77;99,33;96,21;97
;97,77;99,33;96,21;97
;97,76;99,33;96,19;97
;97,74;99,3;96,18;97
;97,74;99,3;96,18;97
;97,73;99,3;96,16;97
;97,72;99,29;96,15;97
;97,71;99,28;96,14;97
;97,69;99,26;96,12;97
;97,67;99,24;96,1;97
;97,66;99,22;96,1;97
;97,65;99,21;96,09;97
;97,64;99,21;96,07;97
;97,63;99,21;96,05;97
;97,6;99,21;95,99;97
;97,6;99,21;95,99;97
;97,56;99,16;95,96;97
;97,56;99,16;95,96;97
;97,55;99,16;95,94;97
;97,54;99,14;95,94;97
;97,52;99,12;95,92;97
;97,52;99,12;95,92;97
;97,51;99,13;95,89;97
;97,49;99,11;95,87;97
;97,47;99,12;95,82;97
;97,47;99,12;95,82;97
;97,45;99,1;95,8;97
;97,45;99,1;95,8;97
;97,44;99,07;95,81;97
;97,43;99,07;95,79;97
;97,43;99,07;95,79;97
;97,42;99,08;95,76;97
;97,42;99,08;95,76;97
;97,42;99,08;95,76;97
;97,42;99,08;95,76;97
;97,42;99,08;95,76;97
;97,39;99,06;95,72;97
;97,38;99,05;95,71;97
;97,37;99,04;95,7;97
;97,36;99,05;95,67;97
;97,36;99,05;95,67;97
;97,36;99,05;95,67;97
30,00;97,35;99,03;95,67;97
;97,33;99,02;95,64;97
;97,32;99,01;95,63;97
;97,3;98,99;95,61;97
;97,28;99;95,56;97
;97,28;99;95,56;97
;97,28;99;95,56;97
;97,28;99;95,56;97
;97,26;98,97;95,55;97
;97,22;98,93;95,51;97
;97,21;98,91;95,51;97
;97,21;98,91;95,51;97
;97,2;98,91;95,49;97
;97,19;98,89;95,49;97
;97,17;98,86;95,48;97
;97,17;98,86;95,48;97
;97,16;98,86;95,46;97
;97,16;98,86;95,46;97
;97,14;98,85;95,43;97
;97,11;98,82;95,4;97
;97,11;98,82;95,4;97
;97,1;98,8;95,4;97
;97,08;98,82;95,34;97
;97,08;98,82;95,34;97
;97,08;98,82;95,34;97
;97,08;98,82;95,34;97
;97,07;98,8;95,34;97
;97,07;98,8;95,34;97
;97,07;98,8;95,34;97
;97,04;98,81;95,27;97
;97,04;98,81;95,27;97
;97,02;98,79;95,25;97
;97,01;98,79;95,23;97
;96,99;98,79;95,19;96
;96,99;98,79;95,19;96
;96,99;98,79;95,19;96
;96,99;98,79;95,19;96
;96,99;98,79;95,19;96
;96,99;98,79;95,19;96
;96,97;98,79;95,15;96
;96,97;98,79;95,15;96
;96,96;98,79;95,13;96
;96,95;98,79;95,11;96
;96,94;98,77;95,11;96
;96,92;98,75;95,09;96
;96,91;98,75;95,07;96
;96,91;98,75;95,07;96
;96,9;98,74;95,06;96
;96,9;98,74;95,06;96
;96,89;98,73;95,05;96
35,00;96,89;98,73;95,05;96
;96,88;98,72;95,04;96
;96,87;98,7;95,04;96
;96,85;98,71;94,99;96
;96,82;98,64;95;96
;96,81;98,62;95;96
;96,8;98,63;94,97;96
;96,79;98,61;94,97;96
;96,77;98,6;94,94;96
;96,77;98,6;94,94;96
;96,75;98,57;94,93;96
;96,74;98,55;94,93;96
;96,74;98,55;94,93;96
;96,72;98,53;94,91;96
;96,72;98,53;94,91;96
;96,71;98,53;94,89;96
;96,71;98,53;94,89;96
;96,68;98,48;94,88;96
;96,68;98,48;94,88;96
;96,66;98,46;94,86;96
;96,66;98,46;94,86;96
;96,63;98,44;94,82;96
;96,63;98,44;94,82;96
;96,62;98,44;94,8;96
;96,61;98,43;94,79;96
;96,6;98,41;94,79;96
;96,6;98,41;94,79;96
;96,6;98,41;94,79;96
;96,59;98,41;94,77;96
;96,59;98,41;94,77;96
;96,59;98,41;94,77;96
;96,58;98,41;94,75;96
;96,53;98,37;94,69;96
;96,53;98,37;94,69;96
;96,51;98,33;94,69;96
;96,51;98,33;94,69;96
;96,5;98,32;94,68;96
;96,49;98,31;94,67;96
;96,47;98,3;94,64;96
;96,45;98,27;94,63;96
;96,45;98,27;94,63;96
;96,45;98,27;94,63;96
;96,43;98,25;94,61;96
;96,42;98,24;94,6;96
;96,42;98,24;94,6;96
;96,42;98,24;94,6;96
;96,42;98,24;94,6;96
;96,42;98,24;94,6;96
;96,41;98,22;94,6;96
;96,41;98,22;94,6;96
40,00;96,41;98,22;94,6;96
;96,41;98,22;94,6;96
;96,41;98,22;94,6;96
;96,4;98,22;94,58;96
;96,4;98,22;94,58;96
;96,39;98,2;94,58;96
;96,37;98,21;94,53;96
;96,36;98,2;94,52;96
;96,36;98,2;94,52;96
;96,36;98,2;94,52;96
;96,36;98,2;94,52;96
;96,35;98,21;94,49;96
;96,34;98,19;94,49;96
;96,32;98,15;94,49;96
;96,3;98,14;94,46;96
;96,3;98,14;94,46;96
;96,28;98,13;94,43;96
;96,25;98,11;94,39;96
;96,25;98,11;94,39;96
;96,24;98,11;94,37;96
;96,24;98,11;94,37;96
;96,24;98,11;94,37;96
;96,24;98,11;94,37;96
;96,24;98,11;94,37;96
;96,22;98,09;94,35;96
;96,21;98,09;94,33;96
;96,17;98,04;94,3;96
;96,15;98,03;94,27;96
;96,14;98,02;94,26;96
;96,14;98,02;94,26;96
;96,13;98,03;94,23;96
;96,13;98,03;94,23;96
;96,12;98,01;94,23;96
;96,11;98;94,22;96
;96,11;98;94,22;96
;96,09;98;94,18;96
;96,09;98;94,18;96
;96,08;98,01;94,15;96
;96,06;97,99;94,13;96
;96,06;97,99;94,13;96
;96,05;97,98;94,12;96
;96,04;97,98;94,1;96
;96,04;97,98;94,1;96
;96,04;97,98;94,1;96
;96,01;98;94,02;96
;95,99;97,98;94;95
;95,97;97,97;93,97;95
;95,96;97,95;93,97;95
;95,96;97,95;93,97;95
;95,96;97,95;93,97;95
45,00;95,95;97,94;93,96;95
;95,94;97,94;93,94;95
;95,94;97,94;93,94;95
;95,94;97,94;93,94;95
;95,93;97,93;93,93;95
;95,92;97,94;93,9;95
;95,92;97,94;93,9;95
;95,9;97,92;93,88;95
;95,89;97,91;93,87;95
;95,87;97,89;93,85;95
;95,86;97,89;93,83;95
;95,86;97,89;93,83;95
;95,86;97,89;93,83;95
;95,85;97,88;93,82;95
;95,85;97,88;93,82;95
;95,81;97,84;93,78;95
;95,8;97,82;93,78;95
;95,79;97,82;93,76;95
;95,75;97,79;93,71;95
;95,75;97,79;93,71;95
;95,75;97,79;93,71;95
;95,74;97,77;93,71;95
;95,72;97,76;93,68;95
;95,72;97,76;93,68;95
;95,7;97,75;93,65;95
;95,69;97,75;93,63;95
;95,67;97,73;93,61;95
;95,67;97,73;93,61;95
;95,65;97,72;93,58;95
;95,64;97,7;93,58;95
;95,63;97,69;93,57;95
;95,63;97,69;93,57;95
;95,62;97,68;93,56;95
;95,62;97,68;93,56;95
;95,59;97,63;93,55;95
;95,59;97,63;93,55;95
;95,58;97,63;93,53;95
;95,58;97,63;93,53;95
;95,57;97,63;93,51;95
;95,56;97,61;93,51;95
;95,53;97,61;93,45;95
;95,52;97,62;93,42;95
;95,51;97,62;93,4;95
;95,5;97,61;93,39;95
;95,48;97,62;93,34;95
;95,47;97,6;93,34;95
